source,destination,success,hops,reason,delay_ms,path
885,943,True,9,reached destination,64.79334815182723,885 -> 76 -> 75 -> 5 -> 227 -> 222 -> 185 -> 192 -> 397 -> 943
1092,906,True,2,reached destination,9.97737256880065,1092 -> 388 -> 906
1021,1026,True,6,reached destination,32.668300528995886,1021 -> 658 -> 541 -> 830 -> 869 -> 344 -> 1026
1030,1056,True,7,reached destination,43.32245305033257,1030 -> 372 -> 2 -> 69 -> 376 -> 1005 -> 37 -> 1056
920,890,True,2,reached destination,12.81662884155038,920 -> 642 -> 890
865,929,True,7,reached destination,42.74133292820267,865 -> 675 -> 861 -> 658 -> 541 -> 830 -> 834 -> 929
861,1090,True,9,reached destination,65.71389551695509,861 -> 658 -> 541 -> 830 -> 869 -> 37 -> 994 -> 219 -> 259 -> 1090
1011,921,True,2,reached destination,6.043636076582752,1011 -> 586 -> 921
999,924,True,2,reached destination,7.758567331890614,999 -> 613 -> 924
955,961,True,6,reached destination,37.289265733656364,955 -> 176 -> 996 -> 369 -> 265 -> 102 -> 961
910,977,True,2,reached destination,8.743185576960524,910 -> 732 -> 977
1061,1087,True,2,reached destination,7.64553820799831,1061 -> 344 -> 1087
970,1074,True,5,reached destination,32.73150425263455,970 -> 782 -> 789 -> 784 -> 735 -> 1074
1089,915,True,2,reached destination,5.401271375981074,1089 -> 344 -> 915
941,959,True,5,reached destination,31.834433668277114,941 -> 810 -> 809 -> 990 -> 307 -> 959
964,861,True,5,reached destination,38.14495461265893,964 -> 742 -> 743 -> 550 -> 675 -> 861
1043,1018,True,4,reached destination,24.802970418027023,1043 -> 102 -> 265 -> 369 -> 1018
1081,1087,True,2,reached destination,6.274810135463502,1081 -> 344 -> 1087
884,1090,True,6,reached destination,34.24301266348888,884 -> 782 -> 1000 -> 561 -> 499 -> 661 -> 1090
1003,959,True,2,reached destination,9.076360287942496,1003 -> 435 -> 959
1058,986,True,2,reached destination,5.531086150165399,1058 -> 185 -> 986
1107,1085,True,2,reached destination,3.78051859931917,1107 -> 782 -> 1085
1090,1089,True,5,reached destination,37.50659477918904,1090 -> 259 -> 219 -> 994 -> 37 -> 1089
890,1088,True,3,reached destination,14.884514673336572,890 -> 577 -> 599 -> 1088
955,912,True,2,reached destination,7.860966346318624,955 -> 356 -> 912
1020,962,True,6,reached destination,38.004478293256035,1020 -> 728 -> 820 -> 659 -> 1025 -> 493 -> 962
864,949,True,3,reached destination,14.171301417304928,864 -> 783 -> 834 -> 949
1023,1058,True,2,reached destination,4.416339237845455,1023 -> 344 -> 1058
1020,1038,True,2,reached destination,4.205226509650189,1020 -> 288 -> 1038
1074,1107,True,5,reached destination,26.556579202770266,1074 -> 594 -> 762 -> 646 -> 761 -> 1107
1047,885,True,8,reached destination,58.52370306649199,1047 -> 514 -> 962 -> 222 -> 227 -> 5 -> 75 -> 76 -> 885
872,987,True,2,reached destination,12.619286743159414,872 -> 176 -> 987
1105,862,True,2,reached destination,7.69627128026818,1105 -> 397 -> 862
1030,928,True,8,reached destination,50.41768106420536,1030 -> 677 -> 675 -> 550 -> 743 -> 742 -> 1108 -> 698 -> 928
887,967,True,2,reached destination,6.731257974011845,887 -> 767 -> 967
1032,1109,True,9,reached destination,46.90856619803933,1032 -> 782 -> 732 -> 788 -> 783 -> 830 -> 541 -> 658 -> 755 -> 1109
1003,967,True,2,reached destination,10.682837587768603,1003 -> 538 -> 967
942,989,True,2,reached destination,4.401486216065413,942 -> 586 -> 989
945,888,True,5,reached destination,32.88147411665197,945 -> 102 -> 377 -> 364 -> 363 -> 888
1020,932,True,2,reached destination,4.4705872347956195,1020 -> 300 -> 932
938,1042,True,3,reached destination,16.004259668611756,938 -> 188 -> 307 -> 1042
1071,944,True,3,reached destination,13.525882281691398,1071 -> 192 -> 397 -> 944
900,1102,True,2,reached destination,10.390390245523552,900 -> 140 -> 1102
1046,882,True,2,reached destination,5.414422312966134,1046 -> 782 -> 882
1036,1019,False,0,no graph path,inf,1036
1065,925,True,7,reached destination,55.23535958753484,1065 -> 48 -> 49 -> 47 -> 344 -> 918 -> 397 -> 925
998,928,True,3,reached destination,21.42990337923562,998 -> 809 -> 810 -> 928
1019,1059,True,8,reached destination,34.26735058723362,1019 -> 782 -> 1040 -> 548 -> 618 -> 625 -> 891 -> 135 -> 1059
921,1026,True,2,reached destination,8.023911523072673,921 -> 613 -> 1026
1064,980,True,2,reached destination,11.171878475510393,1064 -> 176 -> 980
955,1048,True,2,reached destination,5.382122425790446,955 -> 732 -> 1048
1084,1101,True,7,reached destination,60.478985731764894,1084 -> 197 -> 111 -> 208 -> 181 -> 176 -> 140 -> 1101
974,1088,True,6,reached destination,32.72096854989593,974 -> 317 -> 318 -> 1068 -> 713 -> 634 -> 1088
945,909,True,9,reached destination,54.26599864559643,945 -> 679 -> 932 -> 707 -> 648 -> 712 -> 447 -> 448 -> 799 -> 909
977,889,True,2,reached destination,8.997339824245051,977 -> 613 -> 889
1064,1062,True,2,reached destination,9.219715047420037,1064 -> 501 -> 1062
988,1075,True,4,reached destination,19.398430270133893,988 -> 804 -> 1082 -> 505 -> 1075
905,880,True,2,reached destination,11.740444197335329,905 -> 613 -> 880
864,896,True,3,reached destination,14.546249146049442,864 -> 783 -> 788 -> 896
951,1056,True,2,reached destination,4.30871482555294,951 -> 176 -> 1056
981,946,True,2,reached destination,7.794481575183402,981 -> 782 -> 946
1074,975,True,6,reached destination,27.320958261074452,1074 -> 579 -> 536 -> 774 -> 476 -> 479 -> 975
994,1088,True,3,reached destination,14.636869539784918,994 -> 692 -> 493 -> 1088
1037,900,True,7,reached destination,33.729611518886756,1037 -> 818 -> 891 -> 625 -> 618 -> 1006 -> 335 -> 900
1083,865,True,3,reached destination,17.453656115254407,1083 -> 697 -> 700 -> 865
905,1035,True,2,reached destination,11.44670452995182,905 -> 613 -> 1035
884,1102,True,2,reached destination,6.477376721489078,884 -> 307 -> 1102
1034,945,True,2,reached destination,5.1401698370016415,1034 -> 13 -> 945
1016,889,True,4,reached destination,18.12190814581451,1016 -> 560 -> 830 -> 834 -> 889
1081,980,True,3,reached destination,12.716346261628889,1081 -> 37 -> 196 -> 980
1105,971,False,0,no graph path,inf,1105
957,863,True,3,reached destination,26.885954284972975,957 -> 179 -> 178 -> 863
925,989,True,2,reached destination,3.944852453142371,925 -> 761 -> 989
1011,1068,True,2,reached destination,9.860343748048487,1011 -> 319 -> 1068
933,1106,True,5,reached destination,32.866362373610954,933 -> 687 -> 468 -> 703 -> 778 -> 1106
1080,1058,True,2,reached destination,12.522284602461667,1080 -> 613 -> 1058
1020,918,True,6,reached destination,34.363817307847704,1020 -> 728 -> 820 -> 659 -> 926 -> 176 -> 918
1095,989,True,2,reached destination,3.564999188121878,1095 -> 761 -> 989
878,915,True,2,reached destination,4.530748111618019,878 -> 343 -> 915
1074,967,True,7,reached destination,40.38464900545266,1074 -> 594 -> 762 -> 646 -> 761 -> 922 -> 538 -> 967
942,1031,True,2,reached destination,8.729419658690928,942 -> 789 -> 1031
1003,1062,True,2,reached destination,6.606964988066736,1003 -> 402 -> 1062
937,1097,True,3,reached destination,13.795708325007624,937 -> 312 -> 309 -> 1097
1092,1038,True,4,reached destination,25.079810013692715,1092 -> 659 -> 820 -> 728 -> 1038
1083,1090,True,10,reached destination,53.742589128927904,1083 -> 474 -> 855 -> 1078 -> 849 -> 848 -> 672 -> 673 -> 621 -> 674 -> 1090
965,894,True,3,reached destination,23.437077963813515,965 -> 544 -> 735 -> 894
958,1030,True,7,reached destination,41.467129933941706,958 -> 767 -> 777 -> 775 -> 459 -> 640 -> 645 -> 1030
1027,1008,True,7,reached destination,57.216468957535945,1027 -> 311 -> 48 -> 49 -> 47 -> 1055 -> 613 -> 1008
1103,875,True,2,reached destination,8.241850120161953,1103 -> 613 -> 875
996,1051,True,4,reached destination,15.611107145438616,996 -> 388 -> 995 -> 435 -> 1051
1034,899,True,8,reached destination,38.91352286551042,1034 -> 13 -> 985 -> 484 -> 719 -> 651 -> 974 -> 59 -> 899
998,1034,True,5,reached destination,30.77613878261983,998 -> 782 -> 1000 -> 561 -> 499 -> 1034
955,1062,True,2,reached destination,11.50604932807479,955 -> 397 -> 1062
978,911,True,2,reached destination,5.832259748530181,978 -> 732 -> 911
1039,1037,True,2,reached destination,5.728955864359317,1039 -> 551 -> 1037
1034,1100,True,5,reached destination,32.29971248941234,1034 -> 499 -> 561 -> 1040 -> 71 -> 1100
1055,909,True,6,reached destination,44.19279524150826,1055 -> 530 -> 790 -> 449 -> 791 -> 855 -> 909
1087,1048,True,2,reached destination,7.886559508703264,1087 -> 435 -> 1048
885,864,True,8,reached destination,51.25460030987848,885 -> 121 -> 1083 -> 576 -> 637 -> 640 -> 578 -> 583 -> 864
1104,898,True,2,reached destination,9.739203186971785,1104 -> 397 -> 898
1102,957,True,2,reached destination,5.101634865641103,1102 -> 613 -> 957
1080,995,True,2,reached destination,5.755107311386081,1080 -> 71 -> 995
1004,1028,True,3,reached destination,15.466300195883509,1004 -> 657 -> 602 -> 1028
969,913,True,6,reached destination,33.107539188717496,969 -> 450 -> 738 -> 737 -> 685 -> 684 -> 913
921,1052,True,2,reached destination,7.10875733162206,921 -> 307 -> 1052
925,931,True,4,reached destination,22.254901282417908,925 -> 501 -> 911 -> 783 -> 931
968,1067,True,7,reached destination,54.96599307985064,968 -> 311 -> 48 -> 49 -> 47 -> 344 -> 343 -> 1067
920,902,True,2,reached destination,9.466309612491964,920 -> 356 -> 902
1079,955,True,7,reached destination,48.028107123593514,1079 -> 403 -> 1076 -> 313 -> 49 -> 47 -> 344 -> 955
1022,979,True,2,reached destination,3.3666147625139518,1022 -> 188 -> 979
927,945,True,6,reached destination,34.62003793553801,927 -> 782 -> 789 -> 784 -> 735 -> 542 -> 945
1079,996,True,8,reached destination,52.45633968702106,1079 -> 855 -> 1078 -> 85 -> 331 -> 127 -> 118 -> 174 -> 996
926,951,True,2,reached destination,6.662751822885923,926 -> 388 -> 951
927,963,True,3,reached destination,20.304430914283426,927 -> 344 -> 309 -> 963
915,1098,True,5,reached destination,45.743377695131294,915 -> 344 -> 47 -> 49 -> 48 -> 1098
1107,1034,True,4,reached destination,27.39596925676614,1107 -> 831 -> 561 -> 499 -> 1034
949,1050,True,2,reached destination,10.525381661481712,949 -> 501 -> 1050
1040,886,True,3,reached destination,12.925500699278933,1040 -> 113 -> 176 -> 886
