source,destination,success,hops,reason,path
951,977,False,50,maximum hops reached,951 -> 10 -> 875 -> 397 -> 1085 -> 140 -> 905 -> 417 -> 908 -> 190 -> 192 -> 402 -> 307 -> 410 -> 435 -> 179 -> 356 -> 6 -> 113 -> 642 -> 71 -> 599 -> 188 -> 634 -> 383 -> 176 -> 348 -> 343 -> 319 -> 501 -> 335 -> 577 -> 147 -> 538 -> 388 -> 669 -> 37 -> 782 -> 1022 -> 316 -> 613 -> 329 -> 939 -> 371 -> 761 -> 344 -> 586 -> 732 -> 663 -> 500 -> 713
998,1045,False,0,no reachable relay,998
1012,972,False,0,no reachable relay,1012
1077,876,False,50,maximum hops reached,1077 -> 356 -> 357 -> 307 -> 268 -> 176 -> 185 -> 113 -> 344 -> 188 -> 343 -> 889 -> 435 -> 1026 -> 192 -> 999 -> 37 -> 788 -> 196 -> 732 -> 218 -> 140 -> 493 -> 599 -> 314 -> 529 -> 940 -> 397 -> 834 -> 417 -> 514 -> 258 -> 500 -> 870 -> 222 -> 613 -> 47 -> 538 -> 852 -> 10 -> 767 -> 388 -> 1015 -> 376 -> 634 -> 740 -> 501 -> 1049 -> 373 -> 886 -> 312
949,1008,False,0,no reachable relay,949
1092,945,True,3,reached destination,1092 -> 377 -> 439 -> 945
1050,920,False,0,no reachable relay,1050
913,1012,False,0,no reachable relay,913
1016,896,False,0,no reachable relay,1016
891,1020,True,2,reached destination,891 -> 288 -> 1020
1053,882,False,0,no reachable relay,1053
1043,1001,False,6,no reachable relay,1043 -> 146 -> 346 -> 59 -> 330 -> 355 -> 150
989,1062,False,0,no reachable relay,989
900,882,False,0,no reachable relay,900
1016,879,False,0,no reachable relay,1016
981,1090,False,0,no reachable relay,981
1103,894,False,0,no reachable relay,1103
1054,902,False,0,no reachable relay,1054
1051,1049,False,0,no reachable relay,1051
994,997,False,3,no reachable relay,994 -> 119 -> 888 -> 136
943,1085,False,0,no reachable relay,943
1080,975,False,50,maximum hops reached,1080 -> 6 -> 569 -> 348 -> 1011 -> 316 -> 577 -> 45 -> 397 -> 207 -> 402 -> 142 -> 319 -> 939 -> 383 -> 813 -> 179 -> 12 -> 410 -> 318 -> 190 -> 567 -> 10 -> 389 -> 140 -> 635 -> 903 -> 353 -> 713 -> 107 -> 809 -> 908 -> 329 -> 642 -> 55 -> 501 -> 715 -> 307 -> 669 -> 857 -> 417 -> 479 -> 599 -> 53 -> 905 -> 188 -> 1085 -> 71 -> 1017 -> 147 -> 1044
983,1032,True,2,reached destination,983 -> 113 -> 1032
1070,936,False,0,no reachable relay,1070
1097,1059,False,50,maximum hops reached,1097 -> 181 -> 286 -> 90 -> 65 -> 243 -> 430 -> 302 -> 271 -> 324 -> 414 -> 300 -> 125 -> 288 -> 1020 -> 66 -> 932 -> 423 -> 891 -> 135 -> 508 -> 40 -> 131 -> 273 -> 750 -> 280 -> 818 -> 1090 -> 137 -> 172 -> 707 -> 349 -> 299 -> 621 -> 259 -> 673 -> 203 -> 551 -> 801 -> 138 -> 558 -> 328 -> 674 -> 279 -> 463 -> 728 -> 296 -> 796 -> 552 -> 655 -> 441
1102,941,False,0,no reachable relay,1102
938,1063,False,50,maximum hops reached,938 -> 397 -> 875 -> 140 -> 1066 -> 10 -> 783 -> 417 -> 634 -> 190 -> 192 -> 402 -> 307 -> 179 -> 343 -> 410 -> 435 -> 6 -> 356 -> 348 -> 176 -> 577 -> 37 -> 383 -> 344 -> 188 -> 599 -> 335 -> 113 -> 642 -> 388 -> 501 -> 1085 -> 71 -> 732 -> 319 -> 613 -> 316 -> 782 -> 538 -> 147 -> 514 -> 586 -> 500 -> 669 -> 529 -> 761 -> 788 -> 713 -> 834 -> 1026
979,1074,True,3,reached destination,979 -> 55 -> 249 -> 1074
1014,875,False,0,no reachable relay,1014
885,943,False,5,no reachable relay,885 -> 61 -> 1065 -> 252 -> 1076 -> 208
1092,906,False,50,maximum hops reached,1092 -> 10 -> 875 -> 397 -> 1085 -> 140 -> 905 -> 417 -> 908 -> 190 -> 344 -> 402 -> 307 -> 410 -> 192 -> 179 -> 356 -> 6 -> 113 -> 348 -> 176 -> 383 -> 435 -> 319 -> 343 -> 188 -> 599 -> 71 -> 642 -> 147 -> 577 -> 388 -> 501 -> 335 -> 669 -> 37 -> 782 -> 939 -> 316 -> 613 -> 329 -> 1017 -> 371 -> 761 -> 732 -> 586 -> 634 -> 663 -> 500 -> 713 -> 1022
1021,1026,False,0,no reachable relay,1021
1030,1056,True,4,reached destination,1030 -> 351 -> 238 -> 344 -> 1056
920,890,False,0,no reachable relay,920
865,929,False,50,maximum hops reached,865 -> 304 -> 1109 -> 365 -> 238 -> 344 -> 140 -> 185 -> 176 -> 357 -> 307 -> 222 -> 343 -> 889 -> 192 -> 1026 -> 435 -> 999 -> 356 -> 834 -> 37 -> 788 -> 196 -> 732 -> 218 -> 397 -> 268 -> 113 -> 514 -> 314 -> 529 -> 940 -> 10 -> 493 -> 599 -> 47 -> 500 -> 870 -> 388 -> 767 -> 258 -> 613 -> 376 -> 538 -> 852 -> 634 -> 740 -> 501 -> 1049 -> 417 -> 783
861,1090,False,0,no reachable relay,861
1011,921,False,50,maximum hops reached,1011 -> 397 -> 875 -> 10 -> 1085 -> 140 -> 905 -> 417 -> 908 -> 190 -> 192 -> 402 -> 307 -> 410 -> 356 -> 179 -> 435 -> 6 -> 176 -> 383 -> 343 -> 188 -> 599 -> 71 -> 642 -> 113 -> 713 -> 388 -> 501 -> 1066 -> 147 -> 577 -> 371 -> 613 -> 348 -> 37 -> 782 -> 634 -> 586 -> 344 -> 761 -> 732 -> 319 -> 500 -> 335 -> 1022 -> 196 -> 669 -> 529 -> 809 -> 1017
999,924,False,50,maximum hops reached,999 -> 397 -> 875 -> 140 -> 1066 -> 10 -> 783 -> 417 -> 634 -> 190 -> 192 -> 402 -> 307 -> 179 -> 343 -> 410 -> 435 -> 6 -> 356 -> 348 -> 176 -> 577 -> 37 -> 383 -> 344 -> 188 -> 599 -> 335 -> 113 -> 642 -> 388 -> 501 -> 1085 -> 71 -> 732 -> 319 -> 613 -> 316 -> 782 -> 538 -> 147 -> 514 -> 586 -> 500 -> 669 -> 529 -> 761 -> 788 -> 713 -> 834 -> 1026
955,961,False,0,no reachable relay,955
910,977,False,0,no reachable relay,910
1061,1087,False,0,no reachable relay,1061
970,1074,False,0,no reachable relay,970
1089,915,False,0,no reachable relay,1089
941,959,False,0,no reachable relay,941
964,861,False,0,no reachable relay,964
1043,1018,True,3,reached destination,1043 -> 265 -> 334 -> 1018
1081,1087,False,0,no reachable relay,1081
884,1090,False,0,no reachable relay,884
1003,959,False,0,no reachable relay,1003
1058,986,False,0,no reachable relay,1058
1107,1085,False,0,no reachable relay,1107
