source,destination,success,hops,reason,path
92,42,False,50,maximum hops reached,92 -> 894 -> 72 -> 993 -> 236 -> 540 -> 25 -> 895 -> 359 -> 923 -> 102 -> 448 -> 212 -> 933 -> 1 -> 925 -> 56 -> 663 -> 39 -> 1032 -> 266 -> 578 -> 34 -> 934 -> 248 -> 1015 -> 79 -> 820 -> 95 -> 728 -> 40 -> 555 -> 131 -> 633 -> 11 -> 564 -> 245 -> 440 -> 192 -> 763 -> 21 -> 619 -> 77 -> 515 -> 249 -> 838 -> 141 -> 580 -> 229 -> 674 -> 124
6,51,True,5,reached destination,6 -> 901 -> 439 -> 208 -> 635 -> 51
47,2,False,50,maximum hops reached,47 -> 1080 -> 196 -> 706 -> 505 -> 1106 -> 302 -> 879 -> 1108 -> 859 -> 642 -> 90 -> 1104 -> 186 -> 650 -> 355 -> 561 -> 409 -> 1058 -> 10 -> 639 -> 132 -> 628 -> 275 -> 788 -> 1151 -> 716 -> 238 -> 880 -> 347 -> 18 -> 693 -> 15 -> 459 -> 31 -> 998 -> 27 -> 458 -> 14 -> 773 -> 205 -> 963 -> 380 -> 277 -> 946 -> 222 -> 624 -> 195 -> 941 -> 214 -> 801
199,212,True,3,reached destination,199 -> 889 -> 670 -> 212
54,245,True,4,reached destination,54 -> 828 -> 760 -> 1015 -> 245
253,164,True,6,reached destination,253 -> 1116 -> 211 -> 757 -> 559 -> 552 -> 164
174,289,True,5,reached destination,174 -> 1046 -> 404 -> 367 -> 952 -> 289
263,160,True,2,reached destination,263 -> 969 -> 160
115,26,False,50,maximum hops reached,115 -> 990 -> 907 -> 398 -> 1039 -> 129 -> 985 -> 96 -> 765 -> 35 -> 809 -> 81 -> 1135 -> 153 -> 794 -> 216 -> 1087 -> 438 -> 375 -> 1029 -> 159 -> 1024 -> 114 -> 883 -> 1157 -> 1062 -> 104 -> 789 -> 71 -> 877 -> 372 -> 237 -> 905 -> 54 -> 841 -> 278 -> 920 -> 283 -> 1101 -> 240 -> 688 -> 33 -> 488 -> 218 -> 512 -> 172 -> 1092 -> 290 -> 787 -> 201 -> 684
115,208,True,3,reached destination,115 -> 966 -> 443 -> 208
4,131,True,2,reached destination,4 -> 472 -> 131
