source,destination,success,hops,reason,delay_ms,path
190,210,True,6,reached destination,50.41425032786109,190 -> 308 -> 256 -> 428 -> 223 -> 594 -> 210
230,266,True,3,reached destination,29.72787843077833,230 -> 440 -> 993 -> 266
122,227,False,0,no constrained graph path,inf,122
289,56,True,6,reached destination,67.23945996785675,289 -> 964 -> 153 -> 920 -> 187 -> 389 -> 56
279,210,True,5,reached destination,44.75049842175838,279 -> 417 -> 199 -> 758 -> 1139 -> 210
158,197,False,0,no constrained graph path,inf,158
172,84,True,4,reached destination,34.33441505571469,172 -> 438 -> 318 -> 311 -> 84
173,1,True,4,reached destination,42.11779264581442,173 -> 469 -> 385 -> 993 -> 1
54,166,True,3,reached destination,27.528628986544636,54 -> 401 -> 408 -> 166
103,27,True,7,reached destination,68.15997041803521,103 -> 727 -> 136 -> 816 -> 214 -> 409 -> 302 -> 27
82,205,True,3,reached destination,32.09137347100201,82 -> 427 -> 690 -> 205
181,156,True,7,reached destination,60.299957403384575,181 -> 416 -> 106 -> 1111 -> 21 -> 339 -> 310 -> 156
240,180,True,5,reached destination,48.88384741552817,240 -> 542 -> 56 -> 407 -> 309 -> 180
131,80,True,4,reached destination,45.187374215425145,131 -> 792 -> 6 -> 1060 -> 80
25,90,True,9,reached destination,68.19633000273511,25 -> 448 -> 229 -> 305 -> 279 -> 410 -> 322 -> 19 -> 347 -> 90
159,68,True,2,reached destination,17.79282705545913,159 -> 658 -> 68
250,143,True,2,reached destination,14.830810369775811,250 -> 408 -> 143
113,61,False,0,no constrained graph path,inf,113
286,133,True,2,reached destination,10.91532732750872,286 -> 713 -> 133
210,141,True,6,reached destination,57.08405523628589,210 -> 955 -> 181 -> 306 -> 394 -> 343 -> 141
73,88,True,5,reached destination,44.286329720403785,73 -> 383 -> 272 -> 751 -> 1080 -> 88
40,181,True,4,reached destination,35.915676668601726,40 -> 330 -> 394 -> 306 -> 181
37,217,True,5,reached destination,51.367921449431535,37 -> 462 -> 385 -> 418 -> 387 -> 217
71,92,True,7,reached destination,59.32989384034289,71 -> 488 -> 44 -> 329 -> 22 -> 352 -> 369 -> 92
289,7,True,3,reached destination,30.172339944901992,289 -> 1043 -> 337 -> 7
98,223,True,6,reached destination,59.80876690575804,98 -> 1152 -> 176 -> 393 -> 326 -> 390 -> 223
241,203,False,0,no constrained graph path,inf,241
179,215,True,2,reached destination,8.415774777728696,179 -> 439 -> 215
