name,lat,lon,alt_km,status
North Miami - FL,25.9496,-80.1918,0.0,operational
Northlake - IL,41.92,-87.9113,0.0,operational
Noviciado - Chile,-33.4167,-70.9333,0.0,operational
Olympia - WA,47.0379,-122.9007,0.0,planned
Otaru - Japan,43.1907,140.9945,0.0,operational
Oxford - AL,33.5936,-85.8768,0.0,operational
Panaca - NV,37.8,-114.39,0.0,operational
Passa Quatro - Brazil,-22.3869,-44.9708,0.0,planned
Perry - FL,30.0616,-83.5805,0.0,operational
Peñuelas - Mexico,21.8422,-102.3344,0.0,operational
Phoenix - AZ,33.6841,-112.0983,0.0,operational
Pimba - Australia,-31.2833,136.8,0.0,operational
Pine Valley - CA,32.7014,-116.3651,0.0,operational
Piscataway - NJ,40.5434,-74.498,0.0,operational
Piti - GU,13.4156,144.6879,0.0,operational
Ponce - PR,18.0111,-66.6141,0.0,operational
Port Matilda - PA,40.8015,-78.0489,0.0,planned
Port St. Lucie - FL,27.2813,-80.4831,0.0,operational
Porto Alegre - Brazil,-30.0346,-51.2177,0.0,operational
Pott's Junction - GU,13.6164,144.8587,0.0,planned
Presidente Prudente - Brazil,-22.1257,-51.3875,0.0,operational
Prosser - WA,46.2068,-119.7687,0.0,operational
Prudhoe Bay - AK,70.2466,-148.569,0.0,operational
Puerto Montt - Chile,-41.4689,-72.9411,0.0,operational
Puerto Saavedra - Chile,-38.7833,-73.3833,0.0,operational
Punta Arenas - Chile,-53.1638,-70.9171,0.0,operational
Punta Gorda - FL,26.9298,-82.0454,0.0,operational
Puwera - NZ,-35.8,174.2333,0.0,operational
Quincy - WA,47.2343,-119.8526,0.0,planned
Redmond - WA,47.674,-122.1215,0.0,operational
Richardson - TX,32.9483,-96.7299,0.0,planned
Rio Negro - Brazil,-26.105,-49.7978,0.0,operational
Riverside - GA,33.8151,-84.4601,0.0,operational
Robbins - CA,38.875,-121.70705555555556,0.0,operational
Roberts - WI,44.9839,-92.556,0.0,planned
Robertsdale - AL,30.55,-87.71,0.0,operational
Rolette County - ND,48.6604,-99.8105,0.0,operational
Rolette - ND,48.6597,-99.8406,0.0,operational
Roll - AZ,32.8128,-113.9953,0.0,operational
Romulus - NY,42.7584,-76.8347,0.0,planned
Saguenay - QC,48.4279,-71.0548,0.0,operational
Salem - OR,44.9453,-122.8886,0.0,operational
Salt Lake City - UT,40.5861,-111.968,0.0,operational
Sambro Creek - NS,44.4833,-63.6,0.0,operational
San Antonio - TX,29.4241,-98.4936,0.0,planned
